,hookload,friction_factor,depth,rig_state
211,287.14283282475475,0.15,13205.69724137931,off_bottom_POOH
212,314.6274777948627,0.3,13205.69724137931,off_bottom_POOH
213,358.22188263016756,0.45,13205.69724137931,off_bottom_POOH
214,252.60570875463884,-0.15,13205.69724137931,off_bottom_RIH
215,228.84273178732818,-0.3,13205.69724137931,off_bottom_RIH
216,193.77986893292052,-0.45,13205.69724137931,off_bottom_RIH
220,266.7840204624375,0.0,13005.61091954023,off_bottom_static
221,283.443822423309,0.15,13005.61091954023,off_bottom_POOH
222,309.5498755549845,0.3,13005.61091954023,off_bottom_POOH
223,350.9379523393625,0.45,13005.61091954023,off_bottom_POOH
224,250.4657722517707,-0.15,13005.61091954023,off_bottom_RIH
225,227.81296789122445,-0.3,13005.61091954023,off_bottom_RIH
226,194.629971861126,-0.45,13005.61091954023,off_bottom_RIH
230,263.89696382472255,0.0,12805.52459770115,off_bottom_static
231,279.7675631158699,0.15,12805.52459770115,off_bottom_POOH
232,304.50244186668755,0.3,12805.52459770115,off_bottom_POOH
233,343.70047000137924,0.45,12805.52459770115,off_bottom_POOH
234,248.31252404433127,-0.15,12805.52459770115,off_bottom_RIH
235,226.7584680968667,-0.3,12805.52459770115,off_bottom_RIH
236,195.39775065273156,-0.45,12805.52459770115,off_bottom_RIH
240,261.008024714854,0.0,12605.438275862069,off_bottom_static
241,276.1436324385963,0.15,12605.438275862069,off_bottom_POOH
242,299.5446464904188,0.3,12605.438275862069,off_bottom_POOH
243,336.6056405489071,0.45,12605.438275862069,off_bottom_POOH
244,246.1151906274534,-0.15,12605.438275862069,off_bottom_RIH
245,225.6373676068289,-0.3,12605.438275862069,off_bottom_RIH
246,196.0836827276013,-0.45,12605.438275862069,off_bottom_RIH
250,258.1189907778315,0.0,12405.351954022988,off_bottom_static
251,352.71510790755417,0.15,12405.351954022988,off_bottom_POOH
252,457.5045936850391,0.3,12405.351954022988,off_bottom_POOH
253,577.78395018885,0.45,12405.351954022988,off_bottom_POOH
254,165.8979720019451,-0.15,12405.351954022988,off_bottom_RIH
255,64.7837631000082,-0.3,12405.351954022988,off_bottom_RIH
256,-49.45090906801856,-0.45,12405.351954022988,off_bottom_RIH
260,255.23242733504057,0.0,12205.265632183908,off_bottom_static
261,268.95472809800134,0.15,12205.265632183908,off_bottom_POOH
262,289.6652873390035,0.3,12205.265632183908,off_bottom_POOH
263,322.4591755875232,0.45,12205.265632183908,off_bottom_POOH
264,241.69735292987295,-0.15,12205.265632183908,off_bottom_RIH
265,223.3431273733356,-0.3,12205.265632183908,off_bottom_RIH
266,197.09260326888614,-0.45,12205.265632183908,off_bottom_RIH
270,252.33779464821487,0.0,12005.179310344827,off_bottom_static
271,265.43359982293276,0.15,12005.179310344827,off_bottom_POOH
272,284.84463960396636,0.3,12005.179310344827,off_bottom_POOH
273,315.56581443819624,0.45,12005.179310344827,off_bottom_POOH
274,239.41924722196245,-0.15,12005.179310344827,off_bottom_RIH
275,222.067037369281,-0.3,12005.179310344827,off_bottom_RIH
276,197.3165650619598,-0.45,12005.179310344827,off_bottom_RIH
280,249.4371002893151,0.0,11805.092988505747,off_bottom_static
281,272.72986486117935,0.15,11805.092988505747,off_bottom_POOH
282,301.59064744890134,0.3,11805.092988505747,off_bottom_POOH
283,340.8918495673521,0.45,11805.092988505747,off_bottom_POOH
284,226.28233739403998,-0.15,11805.092988505747,off_bottom_RIH
285,199.01730105945086,-0.3,11805.092988505747,off_bottom_RIH
286,164.77249820551035,-0.45,11805.092988505747,off_bottom_RIH
290,246.5340908657433,0.0,11605.006666666666,off_bottom_static
291,258.4045273061787,0.15,11605.006666666666,off_bottom_POOH
292,275.1907636222158,0.3,11605.006666666666,off_bottom_POOH
293,301.75138679212154,0.45,11605.006666666666,off_bottom_POOH
294,234.84322999867112,-0.15,11605.006666666666,off_bottom_RIH
295,219.47402994200112,-0.3,11605.006666666666,off_bottom_RIH
296,197.70009639377247,-0.45,11605.006666666666,off_bottom_RIH
300,243.6310628840596,0.0,11404.920344827586,off_bottom_static
301,254.90199391715305,0.15,11404.920344827586,off_bottom_POOH
302,270.37452000891363,0.3,11404.920344827586,off_bottom_POOH
303,294.84471119943333,0.45,11404.920344827586,off_bottom_POOH
304,232.5467224706901,-0.15,11404.920344827586,off_bottom_RIH
305,218.16218724781478,-0.3,11404.920344827586,off_bottom_RIH
306,197.89245187321674,-0.45,11404.920344827586,off_bottom_RIH
310,240.72803490237584,0.0,11204.834022988505,off_bottom_static
311,251.4080079172131,0.15,11204.834022988505,off_bottom_POOH
312,265.58187304878754,0.3,11204.834022988505,off_bottom_POOH
313,287.94362960392226,0.45,11204.834022988505,off_bottom_POOH
314,230.24519678818004,-0.15,11204.834022988505,off_bottom_RIH
315,216.8487028942429,-0.3,11204.834022988505,off_bottom_RIH
316,198.08352266201624,-0.45,11204.834022988505,off_bottom_RIH
320,237.84469593346407,0.0,11004.747701149425,off_bottom_static
321,247.97577744208652,0.15,11004.747701149425,off_bottom_POOH
322,261.00067691760745,0.3,11004.747701149425,off_bottom_POOH
323,281.3248259557715,0.45,11004.747701149425,off_bottom_POOH
324,227.92778825401248,-0.15,11004.747701149425,off_bottom_RIH
325,215.46077681139295,-0.3,11004.747701149425,off_bottom_RIH
326,198.13848138758178,-0.45,11004.747701149425,off_bottom_RIH
330,234.89435406852954,0.0,10804.661379310344,off_bottom_static
331,244.4471221927497,0.15,10804.661379310344,off_bottom_POOH
332,256.60349174514977,0.3,10804.661379310344,off_bottom_POOH
333,275.4632971331988,0.45,10804.661379310344,off_bottom_POOH
334,225.55732065591138,-0.15,10804.661379310344,off_bottom_RIH
335,214.03669869431872,-0.3,10804.661379310344,off_bottom_RIH
336,198.1720560185486,-0.45,10804.661379310344,off_bottom_RIH
340,231.74242383109396,0.0,10604.575057471264,off_bottom_static
341,240.71015663564435,0.15,10604.575057471264,off_bottom_POOH
342,251.92655554217117,0.3,10604.575057471264,off_bottom_POOH
343,269.056419853847,0.45,10604.575057471264,off_bottom_POOH
