,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,service_life
52,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.2
53,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.300000000000001
54,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.4
55,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.5
56,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.6000000000000005
57,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.7
58,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.800000000000001
59,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,5.9
60,0.07078922723207648,0.8832172132280229,0.6685597501471954,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5,5,thin_pipe,internal_surface,circumferential,90,0.0
61,0.07085044920212112,0.8832158114770277,0.6685630847109083,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5008758069591274,5,thin_pipe,internal_surface,circumferential,90,0.1
62,0.07097354862476739,0.8832129891708644,0.6685697985707526,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5026391173798057,5,thin_pipe,internal_surface,circumferential,90,0.2
63,0.07115986406529166,0.8832087078621144,0.6685799831875997,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.505313844966852,5,thin_pipe,internal_surface,circumferential,90,0.30000000000000004
64,0.07141146039847848,0.8832029080370082,0.6685937801361346,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.50893700230233,5,thin_pipe,internal_surface,circumferential,90,0.4
65,0.07173119733763071,0.8831955068484677,0.6686113864976233,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5135601050581168,5,thin_pipe,internal_surface,circumferential,90,0.5
66,0.07212282793541487,0.8831863948345294,0.6686330626663104,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.519251204129908,5,thin_pipe,internal_surface,circumferential,90,0.6000000000000001
67,0.07259113410042363,0.8831754313622647,0.6686591431876764,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5260977060125425,5,thin_pipe,internal_surface,circumferential,90,0.7000000000000001
68,0.07314210942213778,0.8831624384131901,0.6686900515420525,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.53421021818293,5,thin_pipe,internal_surface,circumferential,90,0.8
69,0.07378320421776711,0.8831471921464299,0.6687263202146401,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5437277668609832,5,thin_pipe,internal_surface,circumferential,90,0.9
70,0.0745236544933032,0.8831294114074011,0.6687686180316954,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5548248996010597,5,thin_pipe,internal_surface,circumferential,90,1.0
71,0.07537492673080251,0.8831087419374529,0.6688177877235224,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5677214384502131,5,thin_pipe,internal_surface,circumferential,90,1.1
72,0.0763513262313723,0.8830847343894017,0.6688748982223478,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.58269604859126,5,thin_pipe,internal_surface,circumferential,90,1.2000000000000002
73,0.07747084189782932,0.8830568131985274,0.668941318713738,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.6001054343156579,5,thin_pipe,internal_surface,circumferential,90,1.3
74,0.07875634153177212,0.8830242315935646,0.6690188256589698,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.6204120548234905,5,thin_pipe,internal_surface,circumferential,90,1.4000000000000001
75,0.0802373013952159,0.8829860049787256,0.6691097612696039,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.6442251193824374,5,thin_pipe,internal_surface,circumferential,90,1.5
76,0.0819523760519508,0.8829408094286995,0.6692172749732598,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.6723629726412982,5,thin_pipe,internal_surface,circumferential,90,1.6
77,0.08395333829206068,0.8828868217258912,0.669345703941984,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.7059512664986047,5,thin_pipe,internal_surface,circumferential,90,1.7000000000000002
78,0.08631134918633016,0.8828214569699526,0.6695011972813826,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.746583724246748,5,thin_pipe,internal_surface,circumferential,90,1.8
79,0.08912739502422411,0.8827409168981434,0.6696927905114223,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.7965983359653043,5,thin_pipe,internal_surface,circumferential,90,1.9000000000000001
80,0.09255064414504313,0.8826393649709303,0.6699343679189711,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.8595805931102423,5,thin_pipe,internal_surface,circumferential,90,2.0
81,0.09681304353232877,0.8825038478753383,0.6702485229724745,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.9413506115351972,5,thin_pipe,internal_surface,circumferential,90,2.1
82,0.10230062294676798,0.8823186736794681,0.6706749213838666,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.0520937824950163,5,thin_pipe,internal_surface,circumferential,90,2.2
83,0.10971934436935292,0.8820511475337901,0.6712909506474847,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.2115961753632587,5,thin_pipe,internal_surface,circumferential,90,2.3000000000000003
84,0.12055436584456132,0.8816245103556247,0.6722733629871507,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.464765719166921,5,thin_pipe,internal_surface,circumferential,90,2.4000000000000004
85,0.13874095160276176,0.8808106520376636,0.6741474248252276,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.9436606001102348,5,thin_pipe,internal_surface,circumferential,90,2.5
86,0.18003595783592583,0.8784869601949916,0.6794981623058156,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",3.282109660179356,5,thin_pipe,internal_surface,circumferential,90,2.6
87,0.4523056031872507,0.8243648779206565,0.782635227661793,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",20.82822529200143,5,thin_pipe,internal_surface,circumferential,90,2.7
