,component,service_life,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,initial_flaw_depth,initial_flaw_length,final_flaw_depth,final_flaw_length,K_r,L_r,K_r_allowable
49,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,10,inf,10,inf,,
50,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,15,inf,15,inf,,
51,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,20,inf,20,inf,,
52,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,25,inf,25,inf,,
53,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,30,inf,30,inf,,
54,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,35,inf,35,inf,,
55,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,40,inf,40,inf,,
56,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,50,inf,50,inf,,
57,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,60,inf,60,inf,,
58,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,80,inf,80,inf,,
59,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,100,inf,100,inf,,
60,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,120,inf,120,inf,,
61,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,150,inf,150,inf,,
62,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,180,inf,180,inf,,
63,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,14.9,200,inf,200,inf,,
64,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,5,inf,5,inf,,
65,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,10,inf,10,inf,,
66,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,15,inf,15,inf,,
67,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,20,inf,20,inf,,
68,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,25,inf,25,inf,,
69,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,30,inf,30,inf,,
70,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,35,inf,35,inf,,
71,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,40,inf,40,inf,,
72,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,50,inf,50,inf,,
73,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,60,inf,60,inf,,
74,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,80,inf,80,inf,,
75,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,100,inf,100,inf,,
76,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,120,inf,120,inf,,
77,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,150,inf,150,inf,,
78,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,180,inf,180,inf,,
79,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,14.9,200,inf,200,inf,,
80,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,5,182.66602149124188,5,0.06296009244308942,1.034172221656427,0.4549125383936546
81,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,10,182.79784803445992,10,0.08446662993145602,0.39126643668845656,0.962883418940055
82,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,15,184.2868385061861,15,0.10000660153558043,0.2584984555254916,0.9836219170202073
83,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,20,182.7622219686668,20,0.1283228688694774,0.20709260094159823,0.9894222594999139
84,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,25,182.7946654243952,25,0.1505257457277732,0.1772650113299636,0.9922228640049038
85,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,30,182.99594333565972,30,0.17223935417597777,0.15829132280426056,0.9937867248568683
86,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,35,182.74083967101134,35,0.1961017133163803,0.14567931011236934,0.9947278507918249
87,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,40,182.71007685345086,40,0.21916240638083978,0.13630772335969252,0.9953798727842953
88,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,50,182.63002641568394,50,0.2657275665200773,0.12358448585013798,0.996196944419032
89,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,60,182.522466621238,60,0.3127651284440981,0.1153703302232149,0.9966822723955878
90,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,80,182.26943163708137,80,0.4077414708318959,0.10542239309574088,0.9972266322185805
91,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,100,181.99730764970104,100,0.503804990336914,0.09964719578077712,0.9975257236841788
92,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,120,181.7438547062617,120,0.6014085723314238,0.09588356225791311,0.997703335861094
93,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,150,181.47068281961705,150,0.7530001438715204,0.09216117116420816,0.9978790017386208
94,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,14.9,180,181.6268176406783,180,0.9148479868832472,0.08950212602060598,0.9980020396507828
95,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,embedded,90,1.7000000000000002,200,183.05738456008004,200,1.0398383323451017,0.08743117057494826,0.9980895934457262
96,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,5,640639.6199952584,5,24.249786347130264,0.478442121043877,0.9442795493072604
97,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,10,640639.6199952584,10,24.249780199079336,0.47385294470487993,0.945370230939043
