,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,initial_flaw_depth,initial_flaw_length,service_life
15,0.5035289203730994,0.6504027014654791,0.9883472213142913,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",7.355279118072937,200,thin_pipe,external_surface,circumferential,90,1.4,200,5
0,0.2788245449852794,0.29967459199318247,1.0780038683423605,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",20.47663793400212,5,thin_pipe,embedded,circumferential,90,6.800000000000001,5,5
1,0.2633428297874163,0.2641441047477139,1.0916187734234912,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",12.117790175288931,10,thin_pipe,embedded,circumferential,90,8.100000000000001,10,5
2,0.3082106766869829,0.36074047424568806,1.058303713434853,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.84821395143583,15,thin_pipe,embedded,circumferential,90,4.0,15,5
3,0.3388194554204072,0.42706308133936344,1.0406897523024958,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",7.286880057123026,20,thin_pipe,embedded,circumferential,90,3.1,20,5
4,0.3457154188107112,0.6338814302996971,1.0006091047362258,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",6.113057781274605,25,thin_pipe,embedded,circumferential,90,2.7,25,5
5,0.34778040350213457,0.6458600949449687,0.9925555087878134,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",5.531532015806975,30,thin_pipe,embedded,circumferential,90,2.5,30,5
6,0.35426638183150677,0.5384793624670396,1.0169718168014756,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",5.36024359237003,35,thin_pipe,embedded,circumferential,90,2.4000000000000004,35,5
7,0.35464333660588837,0.5214234259047935,1.0202329654115045,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",5.102239425917247,40,thin_pipe,embedded,circumferential,90,2.3,40,5
8,0.34133038457813647,0.6564934625170789,0.9826425095857042,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",4.447856655854452,50,thin_pipe,embedded,circumferential,90,2.1,50,5
9,0.344942070746669,0.6310580922656525,1.001052822410561,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",4.319037516316332,60,thin_pipe,embedded,circumferential,90,2.0,60,5
10,0.34050590756021054,0.6484155081411525,0.9902047436321032,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",3.9323847678215613,80,thin_pipe,embedded,circumferential,90,1.8,80,5
11,0.3227842832005205,0.7042908143716745,0.9354547831933748,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",3.413155390799473,100,thin_pipe,embedded,circumferential,90,1.6,100,5
12,0.34419413857044406,0.6628817124116329,0.9765945825352012,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",3.53978996819928,120,thin_pipe,embedded,circumferential,90,1.5,120,5
13,0.34235068690558146,0.6986251058888572,0.9413252740064648,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",3.217196968374836,150,thin_pipe,embedded,circumferential,90,1.3,150,5
14,0.31500885498521414,0.7735074058800756,0.8557663506112555,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",2.623994602724385,180,thin_pipe,embedded,circumferential,90,1.1,180,5
15,0.3125237941322038,0.79047681796171,0.8331574271369496,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",2.4452172604888878,200,thin_pipe,embedded,circumferential,90,1.0,200,5
