Reference Code,Nominal Size (in),Outer Diameter (m),Wall Thickness (mm),Inside Diameter (m)
API-SPEC-5L,"28""",0.7110,14.3,0.6824
API-SPEC-5L,"28""",0.7110,15.9,0.6792
API-SPEC-5L,"28""",0.7110,17.5,0.676
API-SPEC-5L,"28""",0.7110,19.1,0.6728
API-SPEC-5L,"28""",0.7110,20.6,0.6698
API-SPEC-5L,"28""",0.7110,22.2,0.6666
API-SPEC-5L,"28""",0.7110,23.8,0.6634
API-SPEC-5L,"28""",0.7110,25.4,0.6602
API-SPEC-5L,"30""",0.7620,6.4,0.7492
API-SPEC-5L,"30""",0.7620,7.1,0.7478
API-SPEC-5L,"30""",0.7620,7.9,0.7462
API-SPEC-5L,"30""",0.7620,8.7,0.7446
API-SPEC-5L,"30""",0.7620,9.5,0.743
API-SPEC-5L,"30""",0.7620,10.3,0.7414
API-SPEC-5L,"30""",0.7620,11.1,0.7398
API-SPEC-5L,"30""",0.7620,11.9,0.7382
API-SPEC-5L,"30""",0.7620,12.7,0.7366
API-SPEC-5L,"30""",0.7620,14.3,0.7334
API-SPEC-5L,"30""",0.7620,15.9,0.7302
API-SPEC-5L,"30""",0.7620,17.5,0.727
API-SPEC-5L,"30""",0.7620,19.1,0.7238
API-SPEC-5L,"30""",0.7620,20.6,0.7208
API-SPEC-5L,"30""",0.7620,22.2,0.7176
API-SPEC-5L,"30""",0.7620,23.8,0.7144
API-SPEC-5L,"30""",0.7620,25.4,0.7112
API-SPEC-5L,"30""",0.7620,27.0,0.708
API-SPEC-5L,"30""",0.7620,28.6,0.7048
API-SPEC-5L,"30""",0.7620,30.2,0.7016
API-SPEC-5L,"30""",0.7620,31.8,0.6984
API-SPEC-5L,"32""",0.8130,6.4,0.8002
API-SPEC-5L,"32""",0.8130,7.1,0.7988
API-SPEC-5L,"32""",0.8130,7.9,0.7972
API-SPEC-5L,"32""",0.8130,8.7,0.7956
API-SPEC-5L,"32""",0.8130,9.5,0.794
API-SPEC-5L,"32""",0.8130,10.3,0.7924
API-SPEC-5L,"32""",0.8130,11.1,0.7908
API-SPEC-5L,"32""",0.8130,11.9,0.7892
API-SPEC-5L,"32""",0.8130,12.7,0.7876
API-SPEC-5L,"32""",0.8130,14.3,0.7844
API-SPEC-5L,"32""",0.8130,15.9,0.7812
API-SPEC-5L,"32""",0.8130,17.5,0.778
API-SPEC-5L,"32""",0.8130,19.1,0.7748
API-SPEC-5L,"32""",0.8130,20.6,0.7718
API-SPEC-5L,"32""",0.8130,22.2,0.7686
API-SPEC-5L,"32""",0.8130,23.8,0.7654
API-SPEC-5L,"32""",0.8130,25.4,0.7622
API-SPEC-5L,"32""",0.8130,27.0,0.759
API-SPEC-5L,"32""",0.8130,28.6,0.7558
API-SPEC-5L,"32""",0.8130,30.2,0.7526
API-SPEC-5L,"32""",0.8130,31.8,0.7494
API-SPEC-5L,"34""",0.8640,6.4,0.8512
API-SPEC-5L,"34""",0.8640,7.1,0.8498
API-SPEC-5L,"34""",0.8640,7.9,0.8482
API-SPEC-5L,"34""",0.8640,8.7,0.8466
API-SPEC-5L,"34""",0.8640,9.5,0.845
API-SPEC-5L,"34""",0.8640,10.3,0.8434
API-SPEC-5L,"34""",0.8640,11.1,0.8418
API-SPEC-5L,"34""",0.8640,11.9,0.8402
API-SPEC-5L,"34""",0.8640,12.7,0.8386
API-SPEC-5L,"34""",0.8640,14.3,0.8354
API-SPEC-5L,"34""",0.8640,15.9,0.8322
API-SPEC-5L,"34""",0.8640,17.5,0.829
API-SPEC-5L,"34""",0.8640,19.1,0.8258
API-SPEC-5L,"34""",0.8640,20.6,0.8228
API-SPEC-5L,"34""",0.8640,22.2,0.8196
API-SPEC-5L,"34""",0.8640,23.8,0.8164
API-SPEC-5L,"34""",0.8640,25.4,0.8132
API-SPEC-5L,"34""",0.8640,27.0,0.81
API-SPEC-5L,"34""",0.8640,28.6,0.8068
API-SPEC-5L,"34""",0.8640,30.2,0.8036
API-SPEC-5L,"34""",0.8640,31.8,0.8004
API-SPEC-5L,"36""",0.9140,6.4,0.9012
API-SPEC-5L,"36""",0.9140,7.1,0.8998
API-SPEC-5L,"36""",0.9140,7.9,0.8982
API-SPEC-5L,"36""",0.9140,8.7,0.8966
API-SPEC-5L,"36""",0.9140,9.5,0.895
API-SPEC-5L,"36""",0.9140,10.3,0.8934
API-SPEC-5L,"36""",0.9140,11.1,0.8918
API-SPEC-5L,"36""",0.9140,11.9,0.8902
API-SPEC-5L,"36""",0.9140,12.7,0.8886
API-SPEC-5L,"36""",0.9140,14.3,0.8854
API-SPEC-5L,"36""",0.9140,15.9,0.8822
API-SPEC-5L,"36""",0.9140,17.5,0.879
API-SPEC-5L,"36""",0.9140,19.1,0.8758
API-SPEC-5L,"36""",0.9140,20.6,0.8728
API-SPEC-5L,"36""",0.9140,22.2,0.8696
API-SPEC-5L,"36""",0.9140,23.8,0.8664
API-SPEC-5L,"36""",0.9140,25.4,0.8632
API-SPEC-5L,"36""",0.9140,27.0,0.86
API-SPEC-5L,"36""",0.9140,28.6,0.8568
API-SPEC-5L,"36""",0.9140,30.2,0.8536
API-SPEC-5L,"36""",0.9140,31.8,0.8504
API-SPEC-5L,"38""",0.9650,7.9,0.9492
API-SPEC-5L,"38""",0.9650,8.7,0.9476
API-SPEC-5L,"38""",0.9650,9.5,0.946
API-SPEC-5L,"38""",0.9650,10.3,0.9444
API-SPEC-5L,"38""",0.9650,11.1,0.9428
API-SPEC-5L,"38""",0.9650,11.9,0.9412
API-SPEC-5L,"38""",0.9650,12.7,0.9396
API-SPEC-5L,"38""",0.9650,14.3,0.9364
API-SPEC-5L,"38""",0.9650,15.9,0.9332
API-SPEC-5L,"38""",0.9650,17.5,0.93
API-SPEC-5L,"38""",0.9650,19.1,0.9268
API-SPEC-5L,"38""",0.9650,20.6,0.9238
API-SPEC-5L,"38""",0.9650,22.2,0.9206
API-SPEC-5L,"38""",0.9650,23.8,0.9174
API-SPEC-5L,"38""",0.9650,25.4,0.9142
API-SPEC-5L,"38""",0.9650,27.0,0.911
API-SPEC-5L,"38""",0.9650,28.6,0.9078
API-SPEC-5L,"38""",0.9650,30.2,0.9046
API-SPEC-5L,"38""",0.9650,31.8,0.9014
API-SPEC-5L,"40""",1.0160,7.9,1.0002
API-SPEC-5L,"40""",1.0160,8.7,0.9986
API-SPEC-5L,"40""",1.0160,9.5,0.997
API-SPEC-5L,"40""",1.0160,10.3,0.9954
API-SPEC-5L,"40""",1.0160,11.1,0.9938
API-SPEC-5L,"40""",1.0160,11.9,0.9922
API-SPEC-5L,"40""",1.0160,12.7,0.9906
API-SPEC-5L,"40""",1.0160,14.3,0.9874
