,io,dominant_mode,min_mode,max_mode
172,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp173_hm.out,6.0,1.0,10.0
173,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp174_hm.out,4.0,1.0,7.0
174,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp175_hm.out,10.0,1.0,13.0
175,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp176_hm.out,7.0,1.0,10.0
176,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp177_hm.out,8.0,1.0,10.0
177,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp178_hm.out,6.0,1.0,7.0
178,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp179_hm.out,5.0,1.0,9.0
179,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp180_hm.out,6.0,1.0,10.0
180,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp181_hm.out,4.0,1.0,8.0
181,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp182_hm.out,4.0,1.0,10.0
182,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp183_hm.out,4.0,1.0,6.0
183,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp184_hm.out,5.0,1.0,9.0
184,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp185_hm.out,6.0,1.0,8.0
185,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp186_hm.out,7.0,1.0,10.0
186,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp187_hm.out,10.0,1.0,12.0
187,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp188_hm.out,4.0,1.0,6.0
188,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp189_hm.out,6.0,1.0,7.0
189,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp190_hm.out,10.0,1.0,14.0
190,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp191_hm.out,12.0,1.0,15.0
191,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp192_hm.out,5.0,1.0,10.0
192,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp193_hm.out,8.0,1.0,11.0
193,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp194_hm.out,8.0,1.0,10.0
194,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp195_hm.out,6.0,1.0,7.0
195,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp196_hm.out,5.0,1.0,8.0
196,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp197_hm.out,4.0,1.0,5.0
197,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp198_hm.out,4.0,1.0,5.0
198,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp199_hm.out,4.0,1.0,11.0
199,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp200_hm.out,4.0,1.0,10.0
200,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp201_hm.out,7.0,1.0,8.0
201,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp202_hm.out,10.0,1.0,13.0
202,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp203_hm.out,9.0,1.0,11.0
203,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp204_hm.out,3.0,1.0,9.0
204,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp205_hm.out,6.0,1.0,8.0
205,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp206_hm.out,4.0,1.0,5.0
206,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp207_hm.out,6.0,1.0,12.0
207,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp208_hm.out,5.0,1.0,8.0
208,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp209_hm.out,5.0,1.0,7.0
209,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp210_hm.out,4.0,1.0,8.0
210,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp211_hm.out,10.0,1.0,12.0
211,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp212_hm.out,12.0,1.0,16.0
212,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp213_hm.out,4.0,1.0,8.0
213,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp214_hm.out,8.0,1.0,11.0
214,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp215_hm.out,6.0,1.0,10.0
215,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp216_hm.out,10.0,1.0,15.0
216,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp217_hm.out,5.0,1.0,10.0
217,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp218_hm.out,5.0,1.0,7.0
218,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp219_hm.out,6.0,1.0,8.0
219,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp220_hm.out,5.0,1.0,7.0
220,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp221_hm.out,5.0,1.0,10.0
221,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp222_hm.out,3.0,1.0,6.0
222,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp223_hm.out,3.0,1.0,7.0
223,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp224_hm.out,10.0,1.0,13.0
224,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp225_hm.out,4.0,1.0,10.0
225,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp226_hm.out,9.0,1.0,11.0
226,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp227_hm.out,11.0,1.0,14.0
227,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp228_hm.out,4.0,1.0,9.0
228,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp229_hm.out,10.0,1.0,13.0
229,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp230_hm.out,11.0,1.0,14.0
230,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp231_hm.out,4.0,1.0,11.0
231,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp232_hm.out,4.0,1.0,7.0
232,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp233_hm.out,7.0,1.0,9.0
233,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp234_hm.out,3.0,1.0,10.0
234,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp235_hm.out,12.0,1.0,16.0
